dist_km,x_map,y_map,lon_deg,lat_deg,row_pix,col_pix,inside_raster,residual_mGal
205.10085601933443,-181056.8802919251,-4151.5251278254145,120.75581230967704,-2.020074775573987,240.67731668769937,119.12664691251419,1,3.3207894843719226
207.09212646612409,-179370.62743287318,-3092.4173487976514,120.7709804009324,-2.010512489624014,240.14776279818548,119.96977334204014,1,6.795180985006181
209.08339691291374,-177684.37457382126,-2033.3095697699027,120.7861482550128,-2.0009500278779777,239.61820890867162,120.81289977156611,1,5.495580786053861
211.0746673597034,-175998.12171476934,-974.2017907421396,120.80131587312655,-1.9913873907808726,239.08865501915773,121.65602620109206,1,-0.8083492375036885
213.06593780649305,-174311.86885571742,84.90598828560906,120.81648325648202,-1.9818245787776507,238.55910112964386,122.49915263061803,1,-10.518281529050661
215.0572082532827,-172625.61599666553,1144.0137673133722,120.83165040628744,-1.9722615923132172,238.02954724012997,123.34227906014398,1,-18.15375546952059
217.0484787000724,-170939.3631376136,2203.121546341121,120.84681732375113,-1.9626984318324354,237.4999933506161,124.18540548966993,1,-21.275968444271577
219.03974914686205,-169253.11027856168,3262.229325368884,120.86198401008134,-1.953135097780122,236.97043946110222,125.0285319191959,1,-22.121935219774365
221.0310195936517,-167566.85741950976,4321.337104396633,120.87715046648634,-1.9435715906010496,236.44088557158835,125.87165834872185,1,-19.783621467245784
223.02229004044136,-165880.60456045784,5380.444883424396,120.89231669417438,-1.9340079107399484,235.91133168207446,126.71478477824782,1,-11.447535451177794
225.01356048723102,-164194.35170140592,6439.552662452144,120.90748269435372,-1.9244440586415037,235.38177779256057,127.55791120777377,1,-0.12186918756769555
227.00483093402067,-162508.098842354,7498.660441479908,120.92264846823252,-1.9148800347503583,234.8522239030467,128.40103763729974,1,6.84361767566889
228.99610138081033,-160821.84598330208,8557.768220507656,120.9378140170191,-1.905315839511111,234.32267001353281,129.2441640668257,1,5.84039939479387
230.9873718275999,-159135.59312425018,9616.87599953539,120.95297934192156,-1.8957514733683178,233.79311612401895,130.08729049635164,1,1.108946826084185
232.97864227438959,-157449.34026519826,10675.983778563139,120.96814444414815,-1.8861869367664912,233.2635622345051,130.9304169258776,1,-3.8137161571556977
234.96991272117924,-155763.08740614637,11735.091557590902,120.98330932490705,-1.8766222301501028,232.7340083449912,131.77354335540355,1,-9.52366343281914
236.9611831679689,-154076.83454709445,12794.19933661865,120.99847398540642,-1.8670573539635795,232.20445445547733,132.6166697849295,1,-13.29428307700513
238.95245361475855,-152390.58168804253,13853.307115646414,121.01363842685441,-1.8574923086513073,231.67490056596344,133.45979621445548,1,-15.33312585811829
240.9437240615482,-150704.3288289906,14912.414894674162,121.02880265045921,-1.8479270946576303,231.14534667644958,134.30292264398145,1,-17.396232730075795
242.93499450833787,-149018.07596993868,15971.522673701926,121.04396665742891,-1.8383617124268516,230.61579278693569,135.1460490735074,1,-20.751304100785674
244.92626495512752,-147331.82311088676,17030.630452729674,121.0591304489717,-1.8287961624032307,230.08623889742182,135.98917550303335,1,-25.229164233950286
246.91753540191718,-145645.57025183484,18089.738231757437,121.07429402629566,-1.8192304450309855,229.55668500790793,136.83230193255932,1,-27.971839621271087
248.90880584870683,-143959.31739278292,19148.846010785186,121.08945739060894,-1.8096645607542972,229.02713111839407,137.67542836208526,1,-30.362714668387817
250.9000762954965,-142273.064533731,20207.953789812935,121.10462054311964,-1.8000985100172993,228.49757722888017,138.51855479161122,1,-30.61742076807563
252.89134674228615,-140586.81167467908,21267.061568840683,121.11978348503584,-1.7905322932640908,227.9680233393663,139.3616812211372,1,-28.21052978218843
254.8826171890758,-138900.55881562716,22326.16934786846,121.13494621756566,-1.7809659109387252,227.43846944985242,140.20480765066316,1,-19.498538007007628
256.87388763586546,-137214.30595657523,23385.27712689621,121.15010874191714,-1.77139936348522,226.90891556033856,141.04793408018912,1,-6.600825158993128
258.8651580826551,-135528.0530975233,24444.38490592396,121.1652710592984,-1.7618326513475497,226.37936167082466,141.8910605097151,1,3.331870350188012
260.85642852944477,-133841.8002384714,25503.492684951707,121.18043317091748,-1.7522657749696497,225.8498077813108,142.73418693924106,1,2.6004577240257674
262.8476989762344,-132155.54737941947,26562.600463979485,121.19559507798247,-1.7426987347954157,225.3202538917969,143.57731336876702,1,-8.92279511671373
264.8389694230241,-130469.29452036758,27621.708243007233,121.21075678170139,-1.7331315312687043,224.79070000228305,144.42043979829293,1,-17.68864076575412
266.83023986981374,-128783.04166131566,28680.816022034982,121.22591828328233,-1.7235641648333324,224.26114611276915,145.2635662278189,1,-28.505108481036377
268.8215103166034,-127096.78880226373,29739.92380106273,121.24107958393328,-1.7139966359330785,223.7315922232553,146.10669265734487,1,-41.92171634025543
270.81278076339305,-125410.53594321181,30799.03158009051,121.2562406848623,-1.7044289450116807,223.2020383337414,146.94981908687083,1,-43.86151433398389
272.8040512101827,-123724.28308415989,31858.139359118257,121.27140158727742,-1.6948610925128411,222.67248444422754,147.7929455163968,1,-33.928848452198025
274.79532165697236,-122038.03022510797,32917.247138146005,121.28656229238666,-1.6852930788802207,222.14293055471364,148.63607194592277,1,-23.627255986201817
276.786592103762,-120351.77736605605,33976.354917173754,121.30172280139806,-1.675724904557444,221.61337666519978,149.4791983754487,1,-18.204341752543563
278.7778625505517,-118665.52450700413,35035.4626962015,121.31688311551957,-1.666156569988097,221.08382277568592,150.32232480497467,1,-13.722910039444976
280.7691329973413,-116979.27164795224,36094.57047522925,121.33204323595926,-1.6565880756157274,220.55426888617203,151.1654512345006,1,-11.588834081326148
282.760403444131,-115293.01878890031,37153.678254257,121.34720316392512,-1.647019421883846,220.02471499665816,152.00857766402657,1,-13.00915886663748
284.7516738909206,-113606.76592984842,38212.78603328475,121.36236290062513,-1.6374506092359267,219.49516110714427,152.85170409355254,1,-6.5279588477871835
286.7429443377103,-111920.5130707965,39271.893812312526,121.37752244726727,-1.627881638115404,218.9656072176304,153.69483052307848,1,56.106833364490065
288.7342147844999,-110234.26021174458,40331.001591340275,121.39268180505955,-1.618312508965679,218.43605332811651,154.53795695260445,1,39.342065844735586
290.72548523128955,-108548.00735269266,41390.10937036802,121.40784097520996,-1.6087432222301128,217.90649943860265,155.3810833821304,1,19.875126015813837
292.7167556780792,-106861.75449364074,42449.21714939577,121.42299995892648,-1.599173778352032,217.37694554908876,156.22420981165638,1,27.929755314259626
