dist_km,x_map,y_map,lon_deg,lat_deg,row_pix,col_pix,inside_raster,residual_mGal,modelled_mGal,misfit_mGal
0.0,-354740.92477427266,-113239.62636768412,119.192002,-3.0039650000000004,295.2213673076287,32.2846246713404,1,-2.054110799751085,-3.4819817516299265,1.4278709518788415
1.9912704467896547,-353054.67191522074,-112180.51858865636,119.20720099563454,-2.994423213919141,294.69181341811486,33.12775110086636,1,0.8355632634730239,-4.033529328006923,4.869092591479946
3.982540893579309,-351368.4190561688,-111121.4108096286,119.22239962952416,-2.9848812059272527,294.16225952860094,33.97087753039233,1,2.295225435956544,-4.725111299315788,7.020336735272332
5.973811340368964,-349682.1661971169,-110062.30303060086,119.23759790287966,-2.975338976475093,293.6327056390871,34.814003959918296,1,9.226870880748011,-5.610747269835348,14.83761815058336
7.965081787158619,-347995.913338065,-109003.1952515731,119.25279581691196,-2.9657965260133548,293.1031517495732,35.65713038944426,1,21.290609453979,-6.773974723833712,28.064584177812712
9.956352233948271,-346309.66047901305,-107944.08747254536,119.26799337283184,-2.956253854992663,292.5735978600593,36.5002568189702,1,17.353348848818133,-8.349414327363114,25.702763176181247
11.947622680737927,-344623.4076199612,-106884.9796935176,119.28319057185011,-2.9467109638635773,292.04404397054543,37.34338324849617,1,11.401865170584328,-10.564578453889167,21.966443624473495
13.938893127527583,-342937.1547609092,-105825.87191448984,119.29838741517754,-2.937167853076589,291.5144900810316,38.18650967802213,1,6.461570438865342,-13.82637963806006,20.2879500769254
15.930163574317238,-341250.9019018573,-104766.76413546209,119.31358390402478,-2.927624523082128,290.9849361915177,39.0296361075481,1,-9.631392906020714,-18.920565692893337,9.289172786872623
17.921434021106894,-339564.6490428054,-103707.65635643432,119.32878003960256,-2.918080974330552,290.45538230200384,39.87276253707401,1,-20.92756023749211,-27.59809803322263,6.670537795730521
19.912704467896543,-337878.3961837535,-102648.54857740656,119.34397582312148,-2.9085372072721607,289.9258284124899,40.71588896659998,1,-31.278895936311574,-45.15753827143892,13.87864233512735
21.9039749146862,-336192.1433247016,-101589.44079837884,119.35917125579216,-2.898993222357183,289.39627452297606,41.55901539612594,1,-35.55280543961983,-51.239588195186016,15.686782755566185
23.89524536147585,-334505.89046564966,-100530.33301935106,119.37436633882515,-2.889449020035784,288.8667206334622,42.40214182565191,1,-36.83524143530624,-60.76637349181678,23.931132056510542
25.88651580826551,-332819.63760659774,-99471.22524032331,119.38956107343104,-2.8799046007580644,288.3371667439484,43.24526825517788,1,-26.402979539805003,-62.744762777807786,36.34178323800278
27.87778625505517,-331133.3847475458,-98412.11746129557,119.40475546082033,-2.870359964974061,287.8076128544344,44.088394684703815,1,-29.506101078696588,-62.1377723005328,32.631671221836214
29.86905670184482,-329447.1318884939,-97353.0096822678,119.4199495022034,-2.860815113133746,287.27805896492055,44.93152111422978,1,-28.81551533702379,-68.08443643426996,39.26892109724617
31.860327148634475,-327760.879029442,-96293.90190324004,119.43514319879078,-2.851270045687024,286.7485050754067,45.77464754375575,1,-28.67442724289437,-67.52780856963119,38.85338132673682
33.85159759542413,-326074.62617039005,-95234.79412421228,119.45033655179284,-2.841724763083742,286.2189511858928,46.617773973281714,1,-39.67949528612606,-65.69553789837529,26.01604261224923
35.84286804221379,-324388.37331133813,-94175.68634518454,119.46552956241992,-2.832179265773677,285.68939729637896,47.46090040280768,1,-48.24221201302409,-70.82193704330939,22.579725030285303
37.83413848900344,-322702.1204522862,-93116.5785661568,119.48072223188238,-2.822633554206546,285.15984340686504,48.30402683233362,1,-54.61313609627926,-69.28793382911135,14.67479773283209
39.82540893579309,-321015.8675932343,-92057.47078712904,119.49591456139052,-2.813087628832001,284.6302895173512,49.14715326185959,1,-43.04122559699071,-67.15551356513542,24.114287968144716
41.81667938258275,-319329.6147341824,-90998.36300810128,119.51110655215462,-2.8035414900996334,284.1007356278373,49.99027969138555,1,-50.55101651367233,-72.02651313956038,21.47549662588805
43.8079498293724,-317643.36187513045,-89939.25522907352,119.52629820538488,-2.793995138458967,283.5711817383234,50.83340612091152,1,-47.7147418191218,-69.89577901922983,22.181037200108037
45.79922027616206,-315957.1090160785,-88880.14745004577,119.54148952229151,-2.784448574359468,283.0416278488095,51.676532550437486,1,-33.44348498909824,-67.71329197705323,34.26980698795499
47.79049072295171,-314270.8561570266,-87821.03967101802,119.55668050408474,-2.7749017982505366,282.51207395929566,52.519658979963424,1,-1.1655265281284206,-72.48598008362828,71.32045355549985
49.781761169741365,-312584.6032979747,-86761.93189199026,119.57187115197463,-2.7653548105815124,281.9825200697818,53.36278540948939,1,39.054382650216205,-69.8837750796171,108.9381577298333
51.77303161653102,-310898.3504389228,-85702.8241129625,119.58706146717134,-2.7558076118016714,281.45296618026794,54.20591183901536,1,35.169515928364,-67.73167975299091,102.90119568135492
53.76430206332068,-309212.0975798709,-84643.71633393475,119.60225145088494,-2.7462602023602294,280.923412290754,55.049038268541295,1,35.85992670677646,-72.4454164138531,108.30534312062956
55.75557251011034,-307525.844720819,-83584.608554907,119.61744110432542,-2.736712582706339,280.3938584012401,55.89216469806723,1,44.65198839907798,-69.41417437567429,114.06616277475227
57.746842956899975,-305839.59186176705,-82525.50077587925,119.63263042870288,-2.727164753289093,279.8643045117263,56.7352911275932,1,38.69389849282727,-67.30861407375394,106.00251256658122
59.73811340368964,-304153.33900271513,-81466.39299685149,119.64781942522724,-2.717616714557522,279.3347506222124,57.57841755711917,1,29.217654911658176,-71.94984476096836,101.16749967262653
