x_map,y_map,lon_deg,lat_deg,FAA_mGal,h_m,TC_mGal,BCTC_mGal_per_gcm3
125.42500000003209,2.3249999996669883,125.42500000003209,2.3249999996669883,218.9226837158203,124.93058776855469,-8.33267593383789,8.35919189453125
118.82500000032412,1.9249999996824325,118.82500000032412,1.9249999996824325,125.07820129394531,6.523918628692627,-14.98981761932373,5.887712001800537
125.12500000004536,1.8249999996862938,125.12500000004536,1.8249999996862938,183.63262939453125,11.225666046142578,-10.486041069030762,4.398048400878906
124.72500000006306,1.7249999996901546,124.72500000006306,1.7249999996901546,160.40672302246094,5.536720275878906,-26.332496643066406,10.094512939453125
125.02500000004979,1.7249999996901546,125.02500000004979,1.7249999996901546,194.1878662109375,5.962267875671387,-7.567028999328613,3.0840909481048584
124.72500000006306,1.6249999996940157,124.72500000006306,1.6249999996940157,178.6094970703125,13.039774894714355,-18.267316818237305,7.388449192047119
124.92500000005421,1.6249999996940157,124.92500000005421,1.6249999996940157,187.6054229736328,134.322265625,-7.1164398193359375,8.297466278076172
125.02500000004979,1.6249999996940157,125.02500000004979,1.6249999996940157,191.19573974609375,107.91796875,-6.693997859954834,7.032115936279297
125.12500000004536,1.6249999996940157,125.12500000004536,1.6249999996940157,183.58645629882812,44.94140625,-6.803376197814941,4.432474136352539
118.62500000033297,1.5249999996978767,118.62500000033297,1.5249999996978767,68.39683532714844,0.3382265269756317,-3.171598196029663,1.202046275138855
124.82500000005864,1.5249999996978767,124.82500000005864,1.5249999996978767,175.4207000732422,5.258418083190918,-8.739046096801758,3.4935362339019775
124.92500000005421,1.5249999996978767,124.92500000005421,1.5249999996978767,187.20631408691406,90.080078125,-6.657098770141602,6.270353317260742
125.02500000004979,1.5249999996978767,125.02500000004979,1.5249999996978767,236.16064453125,453.3408203125,-4.399550437927246,20.656352996826172
125.12500000004536,1.5249999996978767,125.12500000004536,1.5249999996978767,218.97706604003906,343.6884765625,-5.9346923828125,16.633588790893555
125.22500000004094,1.5249999996978767,125.22500000004094,1.5249999996978767,174.58543395996094,134.51438903808594,-10.152533531188965,9.442635536193848
124.72500000006306,1.4249999997017377,124.72500000006306,1.4249999997017377,196.39987182617188,126.08570098876953,-12.300026893615723,9.893525123596191
124.82500000005864,1.4249999997017377,124.82500000005864,1.4249999997017377,217.9960479736328,241.0498046875,-9.107599258422852,13.518304824829102
124.92500000005421,1.4249999997017377,124.92500000005421,1.4249999997017377,190.6072235107422,130.486328125,-7.894903659820557,8.428184509277344
125.02500000004979,1.4249999997017377,125.02500000004979,1.4249999997017377,234.40184020996094,623.666015625,-6.269263744354248,28.498355865478516
125.22500000004094,1.4249999997017377,125.22500000004094,1.4249999997017377,186.22390747070312,226.92579650878906,-5.788835048675537,11.68310260772705
118.62500000033297,1.3249999997055988,118.62500000033297,1.3249999997055988,82.62236022949219,0.24638718366622925,-2.717803955078125,1.0282350778579712
120.82500000023562,1.3249999997055988,120.82500000023562,1.3249999997055988,176.82383728027344,51.962791442871094,-12.5173921585083,6.866961479187012
120.9250000002312,1.3249999997055988,120.9250000002312,1.3249999997055988,183.42364501953125,47.8638801574707,-10.827183723449707,6.0620574951171875
121.02500000022677,1.3249999997055988,121.02500000022677,1.3249999997055988,160.6673583984375,58.78324890136719,-10.306663513183594,6.324954986572266
124.52500000007191,1.3249999997055988,124.52500000007191,1.3249999997055988,192.60897827148438,27.358013153076172,-11.677680015563965,5.520784378051758
124.62500000006749,1.3249999997055988,124.62500000006749,1.3249999997055988,210.59645080566406,553.9140625,-0.4666574001312256,23.400394439697266
124.72500000006306,1.3249999997055988,124.72500000006306,1.3249999997055988,222.40017700195312,322.9521484375,-8.912432670593262,16.87937355041504
124.82500000005864,1.3249999997055988,124.82500000005864,1.3249999997055988,272.4072265625,746.263671875,-6.799047470092773,33.83729553222656
124.92500000005421,1.3249999997055988,124.92500000005421,1.3249999997055988,260.5926818847656,711.166015625,-3.9591822624206543,31.302030563354492
125.02500000004979,1.3249999997055988,125.02500000004979,1.3249999997055988,209.7893829345703,488.388671875,-4.148001194000244,22.031696319580078
118.62500000033297,1.2249999997094598,118.62500000033297,1.2249999997094598,100.40560913085938,178.30580139160156,-1.5463981628417969,8.055538177490234
118.72500000032855,1.2249999997094598,118.72500000032855,1.2249999997094598,83.21127319335938,29.863407135009766,-3.4514174461364746,2.5448384284973145
120.82500000023562,1.2249999997094598,120.82500000023562,1.2249999997094598,163.38352966308594,27.974000930786133,-9.57115364074707,4.757651329040527
120.9250000002312,1.2249999997094598,120.9250000002312,1.2249999997094598,257.0075378417969,879.98828125,-13.872506141662598,42.093605041503906
121.02500000022677,1.2249999997094598,121.02500000022677,1.2249999997094598,214.6068572998047,542.0185546875,-13.452507019042969,27.76523208618164
121.12500000022234,1.2249999997094598,121.12500000022234,1.2249999997094598,170.62020874023438,147.328125,-10.594054222106934,10.145278930664062
121.22500000021793,1.2249999997094598,121.22500000021793,1.2249999997094598,169.18019104003906,48.85626983642578,-7.68349552154541,4.926257133483887
121.3250000002135,1.2249999997094598,121.3250000002135,1.2249999997094598,170.79931640625,295.8505859375,-4.555003643035889,14.111008644104004
121.42500000020908,1.2249999997094598,121.42500000020908,1.2249999997094598,97.41598510742188,52.08406448364258,-7.561357498168945,5.0158538818359375
124.62500000006749,1.2249999997094598,124.62500000006749,1.2249999997094598,193.79922485351562,98.44953155517578,-7.980772495269775,7.117042064666748
124.72500000006306,1.2249999997094598,124.72500000006306,1.2249999997094598,229.4288787841797,588.0751953125,-4.684671401977539,26.412551879882812
